Date,Adj Close,Close,High,Low,Open,Volume
2023-09-11,243.0968475341797,247.22000122070312,248.36000061035156,246.27000427246094,247.3300018310547,2995800
2023-09-12,243.1754913330078,247.3000030517578,247.75999450683594,246.00999450683594,246.94000244140625,3499600
2023-09-13,243.6966552734375,247.8300018310547,250.05999755859375,246.61000061035156,247.14999389648438,5657000
2023-09-14,237.47222900390625,241.5,245.5399932861328,238.75,245.0,12000000
2023-09-15,237.04937744140625,241.07000732421875,244.10000610351562,240.02999877929688,241.89999389648438,13077900
2023-09-18,240.57952880859375,244.66000366210938,245.22999572753906,240.77000427246094,240.94000244140625,4771600
2023-09-19,239.49786376953125,243.55999755859375,245.1199951171875,241.4600067138672,245.0,4709000
2023-09-20,237.8262176513672,241.86000061035156,244.52999877929688,241.6699981689453,243.6300048828125,5756600
2023-09-21,232.66378784179688,236.61000061035156,240.77999877929688,236.27000427246094,240.77000427246094,6881500
2023-09-22,231.15933227539062,235.0800018310547,237.7899932861328,234.8800048828125,236.75,5935500
2023-09-25,229.46798706054688,233.36000061035156,235.47000122070312,232.2100067138672,235.3800048828125,5921600
2023-09-26,225.81985473632812,229.64999389648438,232.6699981689453,229.60000610351562,231.92999267578125,6193200
2023-09-27,225.67236328125,229.5,230.67999267578125,227.9199981689453,230.25999450683594,6006700
2023-09-28,227.79637145996094,231.66000366210938,232.5399932861328,229.6699981689453,230.6699981689453,4203900
2023-09-29,226.17388916015625,230.00999450683594,233.02999877929688,229.64999389648438,232.83999633789062,6045200
2023-10-02,227.41285705566406,231.27000427246094,231.3699951171875,228.77000427246094,229.24000549316406,5175200
2023-10-03,224.99388122558594,228.80999755859375,231.75,227.77999877929688,230.47000122070312,5585700
2023-10-04,227.36367797851562,231.22000122070312,231.6999969482422,228.8800048828125,229.47999572753906,5430900
2023-10-05,229.58596801757812,233.47999572753906,234.19000244140625,230.22000122070312,230.41000366210938,6126200
2023-10-06,231.1199951171875,235.0399932861328,236.58999633789062,232.75,233.1699981689453,6401300
2023-10-09,230.52999877929688,234.44000244140625,235.1699981689453,231.6999969482422,232.8000030517578,5372200
2023-10-10,232.65396118164062,236.60000610351562,238.22000122070312,234.27999877929688,234.89999389648438,4644000
2023-10-11,231.7493133544922,235.67999267578125,238.50999450683594,234.88999938964844,237.5500030517578,4760900
2023-10-12,232.83096313476562,236.77999877929688,237.72999572753906,234.88999938964844,236.7100067138672,4472800
2023-10-13,233.70611572265625,237.6699981689453,238.64999389648438,236.22999572753906,236.38999938964844,4966800
2023-10-16,236.0660858154297,240.07000732421875,240.7100067138672,238.3300018310547,239.0,6227300
2023-10-17,237.17721557617188,241.1999969482422,241.47999572753906,238.2899932861328,239.6300048828125,4527600
2023-10-18,233.50946044921875,237.47000122070312,240.8300018310547,236.99000549316406,239.9600067138672,9528300
2023-10-19,229.91050720214844,233.80999755859375,237.9199981689453,233.41000366210938,237.47000122070312,5927400
